1909 -0.69 -0.47 -0.51 -0.60 -0.56 -0.53 -0.45 -0.31 -0.35 -0.37 -0.31 -0.55 -0.47 -0.47 -0.55 -0.56 -0.43 -0.34 0.05
1910 -0.44 -0.44 -0.50 -0.41 -0.35 -0.37 -0.35 -0.36 -0.36 -0.38 -0.54 -0.66 -0.43 -0.42 -0.48 -0.42 -0.36 -0.43 0.05
1911 -0.63 -0.57 -0.59 -0.53 -0.51 -0.47 -0.40 -0.41 -0.37 -0.23 -0.17 -0.21 -0.43 -0.46 -0.62 -0.55 -0.43 -0.26 0.05
1912 -0.26 -0.12 -0.34 -0.19 -0.22 -0.26 -0.44 -0.54 -0.51 -0.56 -0.38 -0.43 -0.35 -0.34 -0.20 -0.25 -0.41 -0.48 0.05
1913 -0.41 -0.43 -0.43 -0.38 -0.46 -0.48 -0.36 -0.33 -0.35 -0.34 -0.18 -0.03 -0.35 -0.38 -0.42 -0.42 -0.39 -0.29 0.05
1914 0.04 -0.10 -0.22 -0.29 -0.23 -0.26 -0.24 -0.14 -0.13 -0.03 -0.17 -0.07 -0.15 -0.15 -0.03 -0.24 -0.21 -0.11 0.05
1915 -0.17 0.00 -0.09 0.06 -0.06 -0.20 -0.10 -0.19 -0.16 -0.24 -0.11 -0.16 -0.12 -0.11 -0.08 -0.03 -0.16 -0.17 0.05
1916 -0.08 -0.12 -0.27 -0.29 -0.32 -0.46 -0.35 -0.24 -0.31 -0.26 -0.39 -0.79 -0.32 -0.27 -0.12 -0.29 -0.35 -0.32 0.05
1917 -0.57 -0.60 -0.59 -0.49 -0.54 -0.42 -0.24 -0.21 -0.17 -0.39 -0.27 -0.66 -0.43 -0.44 -0.66 -0.54 -0.29 -0.28 0.05
1918 -0.41 -0.30 -0.24 -0.44 -0.45 -0.35 -0.30 -0.29 -0.14 -0.04 -0.09 -0.26 -0.28 -0.31 -0.46 -0.38 -0.31 -0.09 0.05
1919 -0.19 -0.22 -0.19 -0.12 -0.27 -0.36 -0.28 -0.32 -0.22 -0.18 -0.40 -0.40 -0.26 -0.25 -0.22 -0.19 -0.32 -0.27 0.05
1920 -0.21 -0.22 -0.07 -0.25 -0.26 -0.35 -0.30 -0.23 -0.18 -0.26 -0.26 -0.43 -0.25 -0.25 -0.28 -0.19 -0.30 -0.23 0.05
1921 -0.01 -0.18 -0.22 -0.29 -0.28 -0.27 -0.14 -0.23 -0.16 -0.02 -0.12 -0.16 -0.17 -0.19 -0.21 -0.26 -0.21 -0.10 0.05
1922 -0.32 -0.43 -0.12 -0.23 -0.33 -0.31 -0.24 -0.30 -0.31 -0.31 -0.12 -0.17 -0.27 -0.26 -0.30 -0.22 -0.28 -0.25 0.05
1923 -0.28 -0.36 -0.34 -0.39 -0.33 -0.25 -0.28 -0.29 -0.27 -0.10 0.02 -0.02 -0.24 -0.25 -0.27 -0.35 -0.27 -0.12 0.05
1924 -0.21 -0.23 -0.06 -0.31 -0.18 -0.22 -0.25 -0.33 -0.30 -0.32 -0.19 -0.41 -0.25 -0.22 -0.15 -0.18 -0.27 -0.27 0.05
1925 -0.36 -0.37 -0.24 -0.25 -0.29 -0.32 -0.27 -0.15 -0.16 -0.17 0.05 0.09 -0.20 -0.25 -0.38 -0.26 -0.25 -0.09 0.05
1926 0.20 0.07 0.12 -0.12 -0.22 -0.22 -0.24 -0.13 -0.12 -0.09 -0.04 -0.27 -0.09 -0.06 0.12 -0.07 -0.19 -0.08 0.05
1927 -0.26 -0.17 -0.36 -0.30 -0.24 -0.25 -0.17 -0.20 -0.10 0.01 -0.02 -0.32 -0.20 -0.20 -0.24 -0.30 -0.21 -0.04 0.05
1928 0.00 -0.07 -0.26 -0.27 -0.29 -0.36 -0.17 -0.21 -0.17 -0.16 -0.08 -0.17 -0.18 -0.20 -0.13 -0.27 -0.25 -0.14 0.05
1929 -0.45 -0.59 -0.31 -0.39 -0.37 -0.40 -0.33 -0.29 -0.22 -0.13 -0.11 -0.53 -0.34 -0.31 -0.40 -0.36 -0.34 -0.15 0.05
1930 -0.30 -0.27 -0.08 -0.24 -0.23 -0.20 -0.19 -0.12 -0.12 -0.08 0.17 -0.06 -0.14 -0.18 -0.36 -0.18 -0.17 -0.01 0.05
1931 -0.10 -0.24 -0.07 -0.21 -0.20 -0.07 -0.03 -0.03 -0.07 0.02 -0.11 -0.09 -0.10 -0.10 -0.13 -0.16 -0.04 -0.05 0.05
1932 0.15 -0.18 -0.19 -0.06 -0.19 -0.30 -0.24 -0.23 -0.11 -0.10 -0.26 -0.25 -0.16 -0.15 -0.04 -0.15 -0.26 -0.16 0.05
1933 -0.34 -0.34 -0.30 -0.25 -0.29 -0.34 -0.21 -0.24 -0.27 -0.21 -0.29 -0.46 -0.29 -0.28 -0.31 -0.28 -0.26 -0.26 0.05
1934 -0.24 -0.04 -0.32 -0.30 -0.11 -0.15 -0.10 -0.11 -0.16 -0.08 0.04 -0.04 -0.13 -0.17 -0.24 -0.24 -0.12 -0.07 0.05
1935 -0.33 0.15 -0.13 -0.36 -0.30 -0.26 -0.22 -0.22 -0.20 -0.08 -0.28 -0.20 -0.20 -0.19 -0.07 -0.26 -0.24 -0.19 0.05
1936 -0.28 -0.39 -0.22 -0.20 -0.18 -0.21 -0.08 -0.14 -0.09 -0.04 -0.03 -0.03 -0.16 -0.17 -0.29 -0.20 -0.14 -0.06 0.05
1937 -0.13 0.03 -0.18 -0.17 -0.08 -0.05 -0.05 0.02 0.12 0.08 0.10 -0.12 -0.03 -0.03 -0.04 -0.14 -0.03 0.10 0.05
1938 0.02 -0.02 0.08 0.04 -0.10 -0.18 -0.09 -0.06 0.02 0.11 0.04 -0.22 -0.03 -0.02 -0.04 0.01 -0.11 0.06 0.05
1939 -0.07 -0.08 -0.19 -0.09 -0.06 -0.08 -0.08 -0.07 -0.06 -0.03 0.06 0.44 -0.03 -0.08 -0.12 -0.11 -0.08 -0.01 0.05
